OBJECTID_1,POINT_X,POINT_Y,Bare_SAVI,Bare_NDVI,BARE_GNDVI,Bare_OSAVI
243,-104.998521,40.666126,0.066528,0.097737,0.225806,0.081849
244,-104.998403,40.666126,0.07452,0.110892,0.237781,0.092259
245,-104.998285,40.666126,0.07288,0.108481,0.24474,0.09024
246,-104.998166,40.666126,0.072905,0.107963,0.246154,0.090046
247,-104.998048,40.666126,0.076361,0.113974,0.244051,0.094677
248,-104.99793,40.666126,0.078562,0.117647,0.242105,0.097562
249,-104.997811,40.666126,0.077931,0.116766,0.247492,0.096805
250,-104.997693,40.666126,0.079195,0.119797,0.247738,0.09883
251,-104.997575,40.666126,0.073342,0.110662,0.254566,0.091414
252,-104.997456,40.666126,0.074411,0.113043,0.254179,0.093053
253,-104.997338,40.666126,0.079378,0.122438,0.25721,0.099993
254,-104.99722,40.666126,0.0812,0.124804,0.257443,0.102114
255,-104.997101,40.666126,0.071973,0.109184,0.24016,0.089942
256,-104.996983,40.666126,0.071844,0.10874,0.233465,0.089682
257,-104.996865,40.666126,0.072456,0.1102,0.233485,0.090658
258,-104.996747,40.666126,0.07336,0.112029,0.23722,0.091969
259,-104.996628,40.666126,0.069672,0.107822,0.239503,0.087905
260,-104.99651,40.666126,0.071592,0.111229,0.238434,0.090496
261,-104.996392,40.666126,0.074983,0.116427,0.252983,0.094756
262,-104.999823,40.666036,0.075132,0.111111,0.252059,0.092735
263,-104.999704,40.666036,0.072364,0.106199,0.242981,0.088983
264,-104.999586,40.666036,0.06778,0.099471,0.232095,0.083346
265,-104.999468,40.666036,0.06658,0.097328,0.219512,0.081713
266,-104.999349,40.666036,0.067203,0.098189,0.217116,0.082457
267,-104.999231,40.666036,0.066186,0.097209,0.216,0.081418
268,-104.999113,40.666036,0.064765,0.094358,0.210278,0.079354
269,-104.998994,40.666036,0.062473,0.090995,0.207765,0.076536
270,-104.998876,40.666036,0.067662,0.09909,0.209057,0.083115
271,-104.998758,40.666036,0.069231,0.100709,0.2125,0.084762
272,-104.998639,40.666036,0.066429,0.096289,0.22135,0.081188
273,-104.998521,40.666036,0.067281,0.097872,0.225977,0.082374
274,-104.998403,40.666036,0.071833,0.105062,0.222398,0.088182
275,-104.998285,40.666036,0.075244,0.109739,0.2386,0.092241
276,-104.998166,40.666036,0.064961,0.09556,0.228355,0.079972
277,-104.998048,40.666036,0.073179,0.107677,0.24,0.090101
278,-104.99793,40.666036,0.074407,0.109922,0.241567,0.091793
279,-104.997811,40.666036,0.074356,0.110348,0.23919,0.091934
280,-104.997693,40.666036,0.072128,0.108434,0.245347,0.089742
281,-104.997575,40.666036,0.070461,0.107884,0.253521,0.088446
282,-104.997456,40.666036,0.073973,0.114894,0.240237,0.093493
283,-104.997338,40.666036,0.073917,0.115405,0.242823,0.093654
284,-104.99722,40.666036,0.077256,0.119703,0.242798,0.09753
285,-104.997101,40.666036,0.071492,0.107538,0.230597,0.088975
286,-104.996983,40.666036,0.070452,0.104668,0.235165,0.087153
287,-104.996865,40.666036,0.068905,0.102564,0.233996,0.085318
288,-104.996747,40.666036,0.070416,0.105159,0.239155,0.08733
289,-104.996628,40.666036,0.067325,0.102249,0.241935,0.08418
290,-104.99651,40.666036,0.072559,0.111227,0.243746,0.091131
291,-104.996392,40.666036,0.077984,0.119543,0.261863,0.097944
292,-104.999823,40.665946,0.080894,0.119922,0.264787,0.099965
293,-104.999704,40.665946,0.078008,0.1158,0.261931,0.096462
294,-104.999586,40.665946,0.080269,0.119059,0.250821,0.099219
295,-104.999468,40.665946,0.07362,0.108527,0.232095,0.090726
296,-104.999349,40.665946,0.069532,0.101671,0.223105,0.085347
297,-104.999231,40.665946,0.064024,0.09369,0.220267,0.078617
298,-104.999113,40.665946,0.067872,0.098631,0.223332,0.083056
299,-104.998994,40.665946,0.068049,0.099193,0.220875,0.083399
300,-104.998876,40.665946,0.067603,0.098901,0.21372,0.083
301,-104.998758,40.665946,0.064374,0.093121,0.215401,0.078597
302,-104.998639,40.665946,0.062944,0.090824,0.209711,0.076756
303,-104.998521,40.665946,0.07149,0.102873,0.22365,0.087059
304,-104.998403,40.665946,0.072747,0.10463,0.226735,0.088568
305,-104.998285,40.665946,0.071059,0.102612,0.229329,0.086685
306,-104.998166,40.665946,0.06731,0.097965,0.228814,0.08243
307,-104.998048,40.665946,0.067813,0.098446,0.224147,0.082942
308,-104.99793,40.665946,0.069935,0.102392,0.232745,0.085896
309,-104.997811,40.665946,0.074336,0.110891,0.238411,0.092142
310,-104.997693,40.665946,0.067525,0.10229,0.227891,0.084325
311,-104.997575,40.665946,0.073064,0.110997,0.237607,0.091368
312,-104.997456,40.665946,0.076202,0.116641,0.240069,0.095639
313,-104.997338,40.665946,0.073427,0.112261,0.237766,0.092104
314,-104.99722,40.665946,0.071812,0.108629,0.239501,0.089617
315,-104.997101,40.665946,0.064644,0.095703,0.235683,0.079831
316,-104.996983,40.665946,0.067184,0.0987,0.227542,0.082656
317,-104.996865,40.665946,0.067721,0.099281,0.229614,0.083231
318,-104.996747,40.665946,0.07021,0.103282,0.24442,0.086435
319,-104.996628,40.665946,0.075149,0.111768,0.241341,0.093013
320,-104.99651,40.665946,0.072257,0.108871,0.24929,0.09
321,-104.996392,40.665946,0.072391,0.109974,0.257242,0.090526
322,-104.996273,40.665946,0.074746,0.114212,0.251306,0.093733
323,-104.999823,40.665856,0.087232,0.128255,0.269669,0.107363
