PH,OM,Nitrate_N,Olsen_P,K,Ca,Mg,Sand,Silt,Clay
8.02209,1.60788,16.6827,7.52041,253.837,5088.76,623.833,49.7861,16.0247,34.6706
8.0233,1.68112,17.408,7.56835,257.496,5003.91,635.64,49.4061,16.307,34.8583
8.02201,1.7444,17.7357,7.56998,261.837,4927.14,642.44,49.0064,16.5652,34.9133
8.03091,1.74487,17.8487,7.50964,262.509,4936.85,641.62,48.5767,16.7787,35.0951
8.11425,1.27472,4.62644,3.99776,238.359,4852.93,621.079,49.899,16.6594,33.6421
8.13174,1.18599,4.53134,3.57974,222.492,4909.18,625.974,49.9826,16.7495,33.2772
8.14078,1.15247,4.68404,3.70181,224.873,4953.22,630.33,49.4893,17.1818,33.387
8.15124,1.17869,4.92298,3.59312,214.505,4939.47,634.473,49.4146,17.3542,33.0339
8.15161,1.18593,5.02361,3.49929,212.084,4877.39,636.726,49.1295,17.7135,33.1051
8.15423,1.19174,5.2749,3.50172,212.498,4787.7,636.131,48.7778,18.0536,33.289
8.14879,1.18554,5.61503,3.74903,213.592,4926.38,636.826,48.4536,18.4221,33.666
8.1385,1.21343,5.79382,3.74162,216.682,5011.72,640.76,48.4689,18.2389,33.8619
8.13645,1.26991,6.41392,4.00838,217.927,5066.47,647.198,48.438,18.154,33.8094
8.12533,1.3621,7.24763,4.66233,224.183,5110.92,655.691,48.4243,18.0212,33.7922
8.12538,1.50098,7.91282,5.18359,231.44,5194.26,663.041,48.2517,18.0042,33.9436
8.12212,1.69396,8.70596,5.55821,236.706,5331.38,670.964,48.0676,17.8658,33.9553
8.11796,1.62976,9.70097,6.49604,241.766,5281.28,676.599,47.8289,17.7595,34.4029
8.11892,1.568,10.3534,6.75761,243.119,5264.52,674.551,47.7492,17.6316,34.5588
8.12222,1.55001,10.6877,6.43451,240.148,5288.46,668.983,47.7174,17.4435,34.6285
8.12412,1.49338,11.1354,6.58183,240.977,5272.55,654.103,47.7726,17.2688,34.752
8.12317,1.40207,11.4391,7.059,243.736,5229.46,635.906,47.9161,17.0801,35.0343
8.1205,1.30882,11.3739,6.58367,240.098,5209.85,618.261,48.128,16.8587,35.1023
8.11709,1.27674,11.5161,6.21255,237.161,5202.86,600.305,48.3617,16.6173,35.1697
8.11135,1.32336,11.7525,6.60085,239.024,5191.77,586.263,48.6635,16.4269,34.9153
8.09615,1.38723,12.1459,6.24643,235.933,5115.26,577.04,48.8412,16.3315,34.9341
8.08206,1.44815,12.8821,6.7578,238.353,5042.33,576.172,49.1288,16.1603,34.7509
8.06832,1.43258,13.4123,7.27643,242.881,5144.03,581.45,49.2824,16.1433,34.5956
8.04332,1.45346,14.5242,6.74266,243.173,5161.11,591.527,49.3162,16.2222,34.8882
8.03229,1.50572,15.6129,7.15595,248.579,5150.71,606.32,49.3473,16.3135,34.9484
8.0286,1.57726,16.3976,7.35756,251.273,5097.8,618.934,49.0234,16.5075,34.9852
8.02249,1.65491,17.1983,7.2179,253.832,5026.66,627.49,48.7227,16.6648,35.032
8.01761,1.78288,17.8101,7.55257,258.617,4830.06,629.809,48.3673,16.8617,35.0383
8.03352,1.72863,17.6954,7.90282,265.141,4960.41,626.522,47.9806,17.0618,35.1592
8.09754,1.37379,4.64537,3.97714,243.043,4770.18,619.042,50.2665,16.2972,33.7018
8.10867,1.32253,4.64119,3.88001,237.57,4818.86,624.851,49.8652,16.6393,33.8282
8.12122,1.26692,4.62369,3.749,232.464,4920.26,632.4,49.7252,16.8241,33.5996
8.13056,1.24333,4.8111,3.67811,227.03,4987.52,639.253,49.4386,17.1233,33.366
8.14231,1.22914,4.83749,3.628,224.407,4976.79,643.281,49.1157,17.5272,33.3108
8.14978,1.21225,4.89315,3.36204,214.59,4951.18,648.173,48.9615,17.7008,33.2605
8.15007,1.20064,5.14866,3.32143,216.999,4909.56,649.059,48.4487,18.1342,33.5548
8.15316,1.19125,5.33135,3.41469,213.187,4954.97,649.944,48.2585,18.3618,33.7205
8.14089,1.20136,5.65048,3.81105,219.053,5025.81,652.902,48.1437,18.4207,33.9136
8.13433,1.23682,6.25707,3.74584,217.695,5040.22,658.327,48.1328,18.3642,33.8575
8.1286,1.31328,6.87963,3.95452,221.424,5085.2,661.823,48.0128,18.282,34.0934
8.12506,1.42103,7.78205,5.5383,233.013,5174.52,667.72,47.9711,18.1714,34.0079
8.12552,1.52222,8.66108,5.32722,236.161,5230.87,673.018,47.8273,18.0465,33.9877
8.12149,1.52848,9.52316,5.69248,238.534,5231.27,676.17,47.5903,17.8871,34.4775
8.12047,1.5061,10.3692,6.47155,241.955,5231.69,675.044,47.4933,17.7676,34.6835
8.11811,1.49866,10.8063,6.66354,241.912,5243.38,671.597,47.4758,17.6166,34.6848
8.11785,1.46828,11.473,6.81458,241.495,5244.05,659.791,47.5435,17.4216,34.8066
8.11843,1.39398,11.5944,6.78423,241.707,5222.74,644.953,47.6569,17.2289,35.1529
8.11598,1.32236,11.6013,6.26181,241.411,5240.85,628.357,47.9086,16.9613,35.2098
8.11411,1.29505,11.7201,5.8634,236.395,5254.25,611.397,48.0827,16.8285,35.2809
8.11297,1.31264,11.9309,6.44587,236.619,5232.52,598.2,48.2056,16.6888,35.2164
8.09967,1.34622,12.4233,6.64893,238.637,5181.7,589.679,48.6129,16.4463,34.9471
8.08578,1.37587,13.0063,6.43877,238.559,5158.93,587.581,48.7933,16.353,34.81
8.07284,1.38732,13.5157,6.97427,241.039,5189.26,591.918,48.8407,16.4188,34.9193
8.05298,1.41879,14.6135,7.24472,247.415,5171.88,599.447,48.9518,16.4305,34.6996
8.0411,1.48299,15.5849,6.9812,246.637,5164.88,610.605,48.8231,16.5746,35.1004
8.03708,1.54699,16.2929,7.3911,251.421,5131.42,618.209,48.5999,16.7167,35.0391
8.03557,1.60953,16.9597,7.66466,256.01,5060.76,622.031,48.2025,16.931,35.0133
8.03743,1.67775,17.2452,7.4945,256.132,4980.3,620.536,47.7169,17.178,35.1907
8.05046,1.68419,17.266,8.10713,264.697,5001.49,613.907,47.4742,17.2994,35.1842
8.09032,1.43083,4.64705,3.87565,242.885,4622.55,622.409,50.2351,16.2623,33.881
8.09892,1.37832,4.5864,3.72352,236.43,4769.01,631.316,49.907,16.5623,33.8394
8.10929,1.34254,4.70927,3.79869,233.834,4933.6,642.094,49.6187,16.7209,33.7812
8.11806,1.34386,4.79453,3.63262,230.583,5088.53,651.328,49.2763,17.099,33.5353
8.12713,1.28232,4.72653,3.45432,226.446,5043.21,657.135,48.8625,17.5225,33.5767
8.14211,1.23244,4.76621,3.32857,222.179,5027.59,661.283,48.4328,18.0153,33.6996
8.14955,1.20495,4.96388,3.26105,222.26,4999.63,662.127,48.0883,18.2843,33.7486
8.15134,1.18182,5.06498,3.18428,220.094,5029.05,663.772,47.8412,18.519,33.9056
8.15243,1.17158,5.40869,3.85631,217.955,5044.83,665.723,47.8398,18.6278,33.867
8.14316,1.18264,5.74229,4.08305,222.163,5033.69,667.503,47.7783,18.5756,33.9796
8.13277,1.23515,6.75995,4.78989,227.876,5046.69,669.154,47.6573,18.4917,34.0445
